,Unnamed: 0,Name,Symbol,% of Portfolio,Cost Basis,Close_x,Day_x,# of Shares,Close_y,Day_y,Current_Value,Perc_Return
29,29,Kwun Chan,AAPL,0.4,87940.26795,119.0199966430664,2020-10-16 00:00:00,738.8696893827632,108.86000061035156,2020-10-30 00:00:00,80433.35483717787,-0.0853637734773598
30,30,Kwun Chan,TSLA,0.05,10992.53349,439.6700134277344,2020-10-16 00:00:00,25.001781232021113,388.0400085449219,2020-10-30 00:00:00,9701.69140291174,-0.11742898834582127
31,31,Kwun Chan,ARKW,0.08,17588.05359,118.30999755859376,2020-10-16 00:00:00,148.66075524419998,110.80999755859375,2020-10-30 00:00:00,16473.097925668502,-0.06339278298341267
32,32,Kwun Chan,ARKK,0.1,21985.06699,102.76000213623048,2020-10-16 00:00:00,213.94576229041007,90.79000091552734,2020-10-30 00:00:00,19424.135954219528,-0.11648502308159092
33,33,Kwun Chan,ARKF,0.02,4397.013397,42.63999938964844,2020-10-16 00:00:00,103.11945262521385,40.88999938964844,2020-10-30 00:00:00,4216.554354905876,-0.041041276384840675
34,34,Kwun Chan,STNE,0.05,10992.53349,57.9000015258789,2020-10-16 00:00:00,189.8537685717813,52.540000915527344,2020-10-30 00:00:00,9974.917174577706,-0.09257341051978829
35,35,Kwun Chan,PFE,0.05,10992.53349,37.95000076293945,2020-10-16 00:00:00,289.6583206589786,35.47999954223633,2020-10-30 00:00:00,10277.077084385504,-0.06508566985630304
36,36,Kwun Chan,NVDA,0.05,10992.53349,552.4600219726561,2020-10-16 00:00:00,19.897427963654664,501.3599853515625,2020-10-30 00:00:00,9975.774192391673,-0.09249544688977118
37,37,Kwun Chan,ARKQ,0.05,10992.53349,62.77999877929688,2020-10-16 00:00:00,175.09610869290168,57.7400016784668,2020-10-30 00:00:00,10110.049609821148,-0.08028029943976578
38,38,Kwun Chan,AMZN ,0.05,10992.53349,1.0,2020-10-16 00:00:00,10992.53349,1.0,2020-10-30 00:00:00,10992.53349,0.0
39,39,Kwun Chan,LVGO,0.05,10992.53349,141.9199981689453,2020-10-16 00:00:00,77.45584577103924,139.77000427246094,2020-10-30 00:00:00,10826.00389434523,-0.015149337121079798
40,40,Kwun Chan,ARKG,0.05,10992.53349,73.68000030517578,2020-10-16 00:00:00,149.19290776967884,65.73999786376953,2020-10-30 00:00:00,9807.941438068252,-0.1077633334489616
41,41,Melissa Lomaestro,AAPL,0.15,31865.48765,119.0199966430664,2020-10-16 00:00:00,267.73221768408064,108.86000061035156,2020-10-30 00:00:00,29145.329380499796,-0.0853637734773598
42,42,Melissa Lomaestro,UA,0.05,10621.82922,11.300000190734865,2020-10-16 00:00:00,939.9848708594792,12.229999542236328,2020-10-30 00:00:00,11496.014540320504,0.0823008261773297
